#combination,result
3d glasses+printer,3d printer
woodchipper+mangrove,sawdust
woodchipper+stick,sawdust
woodchipper+tree,sawdust
woodchipper+wood,sawdust
wool+bear,stuffed animal
wool+bed,blanket
wool+big,blanket
wool+candy,cotton candy
wool+child,doll
wool+desert,turban
wool+dog,sheepdog
wool+ear,earmuffs
wool+earth,carpet
wool+feather,pillow
wool+glue,bandage
wool+goat,cashmere
wool+grass,cotton
wool+human,clothing
wool+ocean,sponge
wool+paint,painting
wool+plant,cotton
wool+religion,turban
wool+sea,sponge
wool+sugar,cotton candy
wool+teenager,doll
wool+tool,yarn
wool+toy,stuffed animal
wool+wool,pillow
worm+animal,snake
worm+baby,grub
worm+big,snake
worm+compost,vermicompost
worm+crab,isopod
worm+desert,snake
worm+dune,snake
worm+earth,beetle
worm+egg,snake
worm+fly,butterfly
worm+hair,caterpillar
worm+lobster,isopod
worm+moss,slug
worm+mouse,ant
worm+mud,slug
worm+piranha,lamprey
worm+snake,lizard
worm+stone,slug
worm+swamp,slug
wrapper+sugar,candy
wrapping paper+box,present
wreath+blade,leaf
wreath+human,santa
wreath+scissors,leaf
wreath+wood,christmas tree
x-ray+small,radiation
yacht+human,sailor
yacht+yacht,catamaran
yard+flower,garden
yard+metal,fence
yard+plastic,fence
yard+water,pool
yard+wood,fence
yard+yard,field
yarn+big,rope
yarn+cat,toy
yarn+ear,earmuffs
yarn+electricity,wire
yarn+human,blanket
yarn+metal,wire
yarn+thread,rope
yarn+tool,loom
yarn+yarn,rope
yearbook+wood,bookshelf
yeast+fire,bread
yeast+heat,bread
yeast+plasma,dust
yeast+water,dough
yellow+fish,goldfish
yellow+fly,bee
yellow+insect,bee
yellow+opposite,purple
yogurt+milk,ice cream
yogurt+sugar,frosting
zebra+cat,tiger
zebra+dog,dalmatian
zebra+insect,bee
zebra+orange,tiger
zebu+evolution,cow
zebu+human,cow
zinc+proton,gallium
zombie+bandage,mummy
zombie+desert,mummy
zombie+dune,mummy
zombie+egypt,mummy
zombie+electricity,frankenstein
zombie+lightning,frankenstein
zombie+paper,mummy
zombie+pyramid,mummy
zombie+sand,mummy
zombie+scythe,grim reaper
zombie+tissue,mummy
zombie+toilet paper,mummy
zombie+wool,mummy
zoo+bamboo,panda
zoo+cat,tiger
zoo+fish,penguin
zoo+pond,penguin
zoo+squirrel,monkey
zoo+tree,monkey
zoo+water,penguin
